ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
Fred Victor Centre,Fred Victor Women's Hostel,Fred Victor Centre Fatima House,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Centre Bethlehem United Shelter,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Uptown Hotel Program,Motel/Hotel Shelter,276,Room Based Capacity,,,,,,264,0,,100
Fred Victor Centre,Fred Victor-Better Living Centre,Fred Victor Centre 1A Strachan Ave Respite,24-Hour Respite Site,58,Bed Based Capacity,58,58,58,0,0,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,6,Bed Based Capacity,6,5,6,0,-1,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,25,Bed Based Capacity,25,28,25,0,3,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,18,Bed Based Capacity,25,25,18,7,0,,,72,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,46,Room Based Capacity,,,,,,46,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,32,Bed Based Capacity,32,50,32,0,18,,,100,
Homes First Society,HFS - Savard's Womens' Shelter,Downtown Hotel Program - York,Motel/Hotel Shelter,104,Room Based Capacity,,,,,,91,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,103,Bed Based Capacity,103,119,103,0,16,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,55,Bed Based Capacity,55,57,55,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,59,Bed Based Capacity,60,60,59,1,0,,,98.33,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,70,Bed Based Capacity,70,76,70,0,6,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,83,Room Based Capacity,,,,,,83,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,383,Room Based Capacity,,,,,,324,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,188,Room Based Capacity,,,,,,98,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,13,Bed Based Capacity,13,20,13,0,7,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,58,Bed Based Capacity,58,69,58,0,11,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,49,Bed Based Capacity,49,49,49,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,56,Bed Based Capacity,56,60,56,0,4,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,43,Bed Based Capacity,43,84,43,0,41,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,139,Bed Based Capacity,139,180,139,0,41,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,45,Bed Based Capacity,45,75,45,0,30,,,100,
Horizon for Youth,Horizons for Youth,Horizons for Youth,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,24-Hour Respite Site,30,Bed Based Capacity,30,30,30,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,Shelter,15,Bed Based Capacity,17,17,15,2,0,,,88.24,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family Services Toronto,Shelter,6,Bed Based Capacity,11,11,6,5,0,,,54.55,
Native Child & Family Services Toronto,Eagles Nest Transition House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,12,Room Based Capacity,,,,,,12,2,,85.71
Sistering: A Women's Place,Sistering,Sistering,24-Hour Women's Drop-in,13,Bed Based Capacity,14,19,13,1,5,,,92.86,
Society of St.Vincent De Paul,SVDP - Amelie House,SVDP Amelie House,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Elisa House,SVDP Elisa House,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Mary's Home,SVDP Mary's Home,Shelter,32,Bed Based Capacity,32,34,32,0,2,,,100,
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,SVDP St. Clare's Residence,Shelter,26,Bed Based Capacity,27,30,26,1,3,,,96.3,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 25 Augusta Ave. Respite ,24-Hour Respite Site,22,Bed Based Capacity,22,22,22,0,0,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 69 Fraser Ave. Respite ,24-Hour Respite Site,52,Bed Based Capacity,52,52,52,0,0,,,100,
St. Simon's Shelter Inc.,St. Simon's Shelter,St. Simon's Clubbe House,Motel/Hotel Shelter,31,Room Based Capacity,,,,,,31,0,,100
Street Haven At The Crossroads,Street Haven,Street Haven,Shelter,24,Bed Based Capacity,24,28,24,0,4,,,100,
Street Haven At The Crossroads,Street Haven,Street Haven Downtown Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,33,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Hotel Program,Shelter,222,Room Based Capacity,,,,,,75,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,68,Room Based Capacity,,,,,,24,1,,96
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,56,Bed Based Capacity,56,56,56,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,41,Room Based Capacity,,,,,,23,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,129,Room Based Capacity,,,,,,129,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,242,Bed Based Capacity,242,246,242,0,4,,,100,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,56,Room Based Capacity,,,,,,34,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,36,Bed Based Capacity,36,42,36,0,6,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,45,Bed Based Capacity,46,46,45,1,0,,,97.83,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,9,Room Based Capacity,,,,,,3,0,,100
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,49,Bed Based Capacity,49,49,49,0,0,,,100,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,92,Room Based Capacity,,,,,,25,1,,96.15
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,19,Bed Based Capacity,19,20,19,0,1,,,100,
YMCA of Greater Toronto,YMCA House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,42,Room Based Capacity,,,,,,42,0,,100
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,23,Bed Based Capacity,23,25,23,0,2,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,12,Bed Based Capacity,14,15,12,2,1,,,85.71,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,32,Bed Based Capacity,39,40,32,7,1,,,82.05,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,620,Room Based Capacity,,,,,,149,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,111,Room Based Capacity,,,,,,56,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,8,Bed Based Capacity,8,8,8,0,0,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,248,Room Based Capacity,,,,,,76,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,460,Room Based Capacity,,,,,,147,1,,99.32
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,148,Room Based Capacity,,,,,,143,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,69,Room Based Capacity,,,,,,28,0,,100
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,218,Room Based Capacity,,,,,,63,1,,98.44
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,24,Room Based Capacity,,,,,,12,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,83,Room Based Capacity,,,,,,83,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,28,Room Based Capacity,,,,,,14,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,75,Room Based Capacity,,,,,,75,1,,98.68
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,143,Room Based Capacity,,,,,,74,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,103,Room Based Capacity,,,,,,103,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,134,Room Based Capacity,,,,,,38,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,110,Room Based Capacity,,,,,,38,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,4,Room Based Capacity,,,,,,4,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,52,Room Based Capacity,,,,,,19,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,35,Bed Based Capacity,35,36,35,0,1,,,100,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,70,Room Based Capacity,,,,,,67,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,43,Bed Based Capacity,44,46,43,1,2,,,97.73,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,88,Room Based Capacity,,,,,,34,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,140,Room Based Capacity,,,,,,109,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,29,Room Based Capacity,,,,,,29,1,,96.67
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,90,Bed Based Capacity,93,93,90,3,0,,,96.77,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,56,Bed Based Capacity,56,62,56,0,6,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,50,Bed Based Capacity,50,51,50,0,1,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,81,Bed Based Capacity,81,81,81,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,22,Bed Based Capacity,22,22,22,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,4,Bed Based Capacity,4,10,4,0,6,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,58,Bed Based Capacity,59,60,58,1,1,,,98.31,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,65,Bed Based Capacity,65,72,65,0,7,,,100,
City of Toronto,Streets To Homes,Streets to Homes Assessment and Referral Centre (SHARC),Shelter,27,Bed Based Capacity,30,30,27,3,0,,,90,
City of Toronto,Women's Residence,SSHA Downtown Hotel Program,Motel/Hotel Shelter,68,Room Based Capacity,,,,,,61,3,,95.31
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,6,Bed Based Capacity,6,11,6,0,5,,,100,
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,78,Bed Based Capacity,78,80,78,0,2,,,100,
Cornerstone Place,Cornerstone Place,Cornerstone Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,1,Bed Based Capacity,2,2,1,1,0,,,50,
Covenant House Toronto,Covenant House,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House McGill St,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Dixon Hall,351 Lakeshore Respite Services,Dixon Hall 351 Lake Shore Blvd E Respite,24-Hour Respite Site,59,Bed Based Capacity,59,59,59,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall 354 George St,24-Hour Respite Site,50,Bed Based Capacity,50,50,50,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Bond Place Hotel Program,Motel/Hotel Shelter,144,Room Based Capacity,,,,,,138,9,,93.88
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Heyworth House,Shelter,53,Bed Based Capacity,53,53,53,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Downtown Hotel Program - York,Motel/Hotel Shelter,89,Room Based Capacity,,,,,,89,1,,98.89
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Downtown Hotel,Motel/Hotel Shelter,55,Room Based Capacity,,,,,,50,0,,100
Dixon Hall,Dixon Hall - Schoolhouse,Dixon Hall Schoolhouse,Shelter,26,Bed Based Capacity,26,26,26,0,0,,,100,
Eva's Initiatives,Eva's Phoenix,Eva's Phoenix,Shelter,49,Bed Based Capacity,50,50,49,1,0,,,98,
Eva's Initiatives,Eva's Place,Eva's Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Eva's Initiatives,Eva's Place,Multiple Youth Agencies Downtown Hotel Program,Motel/Hotel Shelter,41,Room Based Capacity,,,,,,41,0,,100
Fife House Foundation,Fife House Transitional Program,Fife House Denison Ave,Shelter,4,Bed Based Capacity,5,5,4,1,0,,,80,
Fife House Foundation,Fife House Transitional Program,Fife House Sherbourne St,Shelter,10,Bed Based Capacity,11,11,10,1,0,,,90.91,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Centre Transition to Housing Dundas St E,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Mary Sheffield House,Shelter,24,Bed Based Capacity,25,26,24,1,1,,,96,
Fred Victor Centre,Fred Victor Women's Hostel,Adelaide Resource Centre for Women,24-Hour Women's Drop-in,50,Bed Based Capacity,52,52,50,2,0,,,96.15,
Fred Victor Centre,Fred Victor Women's Hostel,Fred Victor Centre Fatima House,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Centre Bethlehem United Shelter,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Uptown Hotel Program,Motel/Hotel Shelter,278,Room Based Capacity,,,,,,266,0,,100
Fred Victor Centre,Fred Victor-Better Living Centre,Fred Victor Centre 1A Strachan Ave Respite,24-Hour Respite Site,58,Bed Based Capacity,58,58,58,0,0,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,6,Bed Based Capacity,6,5,6,0,-1,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,25,Bed Based Capacity,25,28,25,0,3,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,20,Bed Based Capacity,25,25,20,5,0,,,80,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,46,Room Based Capacity,,,,,,46,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,34,Bed Based Capacity,36,50,34,2,14,,,94.44,
Homes First Society,HFS - Savard's Womens' Shelter,Downtown Hotel Program - York,Motel/Hotel Shelter,104,Room Based Capacity,,,,,,91,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,102,Bed Based Capacity,104,119,102,2,15,,,98.08,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,55,Bed Based Capacity,55,57,55,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,60,Bed Based Capacity,60,60,60,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,72,Bed Based Capacity,74,76,72,2,2,,,97.3,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,82,Room Based Capacity,,,,,,82,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,382,Room Based Capacity,,,,,,323,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,186,Room Based Capacity,,,,,,99,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,13,Bed Based Capacity,13,20,13,0,7,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,58,Bed Based Capacity,58,69,58,0,11,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,49,Bed Based Capacity,49,49,49,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,56,Bed Based Capacity,56,60,56,0,4,,,100,
